continent,iso_code,location,year,month,weekday,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Europe,AUT,Austria,2020,2,1,2020-02-25,,,,,,,
Europe,AUT,Austria,2020,2,2,2020-02-26,,,,,,,
Europe,AUT,Austria,2020,2,3,2020-02-27,,,,,,,
Europe,AUT,Austria,2020,2,4,2020-02-28,,,,,,,
Europe,AUT,Austria,2020,2,5,2020-02-29,,,,,,,
Europe,AUT,Austria,2020,3,6,2020-03-01,,,,,,,
Europe,AUT,Austria,2020,3,0,2020-03-02,,,,,,,
Europe,AUT,Austria,2020,3,1,2020-03-03,,,,,,,
Europe,AUT,Austria,2020,3,2,2020-03-04,,,,,,,
Europe,AUT,Austria,2020,3,3,2020-03-05,,,,,,,
Europe,AUT,Austria,2020,3,4,2020-03-06,,,,,,,
Europe,AUT,Austria,2020,3,5,2020-03-07,,,,,,,
Europe,AUT,Austria,2020,3,6,2020-03-08,,,,,,,
Europe,AUT,Austria,2020,3,0,2020-03-09,,,,,,,
Europe,AUT,Austria,2020,3,1,2020-03-10,,,,,,,
Europe,AUT,Austria,2020,3,2,2020-03-11,,,,,,,
Europe,AUT,Austria,2020,3,3,2020-03-12,,,,,,,
Europe,AUT,Austria,2020,3,4,2020-03-13,,,,,,,
Europe,AUT,Austria,2020,3,5,2020-03-14,,,,,,,
Europe,AUT,Austria,2020,3,6,2020-03-15,,,,,,,
Europe,AUT,Austria,2020,3,0,2020-03-16,,,,,,,
Europe,AUT,Austria,2020,3,1,2020-03-17,,,,,,,
Europe,AUT,Austria,2020,3,2,2020-03-18,,,,,,,
Europe,AUT,Austria,2020,3,3,2020-03-19,,,,,,,
Europe,AUT,Austria,2020,3,4,2020-03-20,,,,,,,
Europe,AUT,Austria,2020,3,5,2020-03-21,,,,,,,
Europe,AUT,Austria,2020,3,6,2020-03-22,,,,,,,
Europe,AUT,Austria,2020,3,0,2020-03-23,,,,,,,
Europe,AUT,Austria,2020,3,1,2020-03-24,,,,,,,
Europe,AUT,Austria,2020,3,2,2020-03-25,,,,,,,
Europe,AUT,Austria,2020,3,3,2020-03-26,,,,,,,
Europe,AUT,Austria,2020,3,4,2020-03-27,,,,,,,
Europe,AUT,Austria,2020,3,5,2020-03-28,,,,,,,
Europe,AUT,Austria,2020,3,6,2020-03-29,,,,,,,
Europe,AUT,Austria,2020,3,0,2020-03-30,,,,,,,
Europe,AUT,Austria,2020,3,1,2020-03-31,,,,,,,
Europe,AUT,Austria,2020,4,2,2020-04-01,,,,,,,
Europe,AUT,Austria,2020,4,3,2020-04-02,,,,,,,
Europe,AUT,Austria,2020,4,4,2020-04-03,,,,,,,
Europe,AUT,Austria,2020,4,5,2020-04-04,,,,,,,
Europe,AUT,Austria,2020,4,6,2020-04-05,,,,,,,
Europe,AUT,Austria,2020,4,0,2020-04-06,,,,,,,
Europe,AUT,Austria,2020,4,1,2020-04-07,,,,,,,
Europe,AUT,Austria,2020,4,2,2020-04-08,,,,,,,
Europe,AUT,Austria,2020,4,3,2020-04-09,,,,,,,
Europe,AUT,Austria,2020,4,4,2020-04-10,,,,,,,
Europe,AUT,Austria,2020,4,5,2020-04-11,,,,,,,
Europe,AUT,Austria,2020,4,6,2020-04-12,,,,,,,
Europe,AUT,Austria,2020,4,0,2020-04-13,,,,,,,
Europe,AUT,Austria,2020,4,1,2020-04-14,,,,,,,
Europe,AUT,Austria,2020,4,2,2020-04-15,,,,,,,
Europe,AUT,Austria,2020,4,3,2020-04-16,,,,,,,
Europe,AUT,Austria,2020,4,4,2020-04-17,,,,,,,
Europe,AUT,Austria,2020,4,5,2020-04-18,,,,,,,
Europe,AUT,Austria,2020,4,6,2020-04-19,,,,,,,
Europe,AUT,Austria,2020,4,0,2020-04-20,,,,,,,
Europe,AUT,Austria,2020,4,1,2020-04-21,,,,,,,
Europe,AUT,Austria,2020,4,2,2020-04-22,,,,,,,
Europe,AUT,Austria,2020,4,3,2020-04-23,,,,,,,
